sample,mean_parse_height,num_parses,type,length
t30 t131 t817 t363 t592 t593 t14 t804 t640 t378 t817,,,negative,11
t363 t466 t777 t131 t535 t30 t378 t30 t98 t640 t592 t573,,,negative,12
t444 t98 t573 t892 t689 t804 t237 t237 t640 t848 t777 t217,,,negative,12
t444 t444 t237 t378 t131 t817 t372 t278 t131 t363 t637 t637,,,negative,12
t278 t372 t637 t37 t592 t640 t804 t592 t892 t593 t98 t467,,,negative,12
t30 t555 t689 t467 t378 t848 t817 t217 t817 t535 t640 t444,,,negative,12
t592 t444 t637 t14 t131 t217 t892 t592 t848 t98 t593 t466,,,negative,12
t98 t640 t892 t378 t466 t237 t372 t466 t37 t278 t278 t217,,,negative,12
t777 t363 t777 t573 t378 t278 t98 t444 t237 t444 t777 t14,,,negative,12
t217 t467 t592 t555 t555 t640 t804 t777 t466 t372 t14 t777,,,negative,12
t848 t592 t777 t892 t777 t592 t593 t689 t217 t573 t535 t237,,,negative,12
t777 t37 t217 t592 t593 t804 t573 t817 t892 t535 t37 t217 t817,,,negative,13
t535 t817 t444 t555 t98 t817 t363 t892 t535 t372 t14 t637 t37,,,negative,13
t848 t689 t444 t848 t363 t804 t573 t98 t372 t372 t467 t372 t637,,,negative,13
t30 t466 t466 t131 t817 t535 t37 t30 t98 t804 t637 t467 t592,,,negative,13
t98 t640 t573 t131 t37 t237 t573 t892 t892 t573 t378 t573 t467,,,negative,13
t37 t30 t640 t573 t98 t555 t30 t592 t98 t98 t637 t640 t777,,,negative,13
t466 t14 t217 t573 t98 t535 t98 t817 t378 t131 t444 t535 t640,,,negative,13
t593 t573 t555 t444 t777 t593 t278 t535 t573 t237 t689 t131 t372,,,negative,13
t444 t466 t30 t689 t467 t30 t278 t804 t372 t637 t444 t98 t804,,,negative,13
t444 t466 t278 t817 t555 t592 t30 t131 t363 t467 t37 t444 t217,,,negative,13
t217 t278 t37 t777 t372 t237 t131 t637 t637 t777 t372 t237 t892 t444,11.0,1.0,positive,14
t217 t278 t535 t98 t637 t573 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,14
t217 t278 t535 t98 t637 t573 t777 t817 t378 t593 t278 t37 t892 t444,13.0,1.0,positive,14
t217 t278 t37 t98 t573 t637 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,14
t217 t278 t535 t777 t372 t237 t131 t573 t573 t777 t372 t237 t892 t444,11.0,1.0,positive,14
t217 t278 t37 t98 t637 t573 t777 t817 t378 t593 t278 t37 t892 t444,13.0,1.0,positive,14
t217 t278 t535 t98 t573 t573 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,14
t217 t278 t37 t777 t372 t237 t131 t573 t637 t777 t372 t237 t892 t444,11.0,1.0,positive,14
t217 t278 t37 t98 t637 t573 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,14
t217 t278 t535 t98 t637 t637 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,14
t689 t37 t217 t892 t378 t892 t14 t372 t30 t278 t237 t777 t466 t804,,,negative,14
t14 t378 t592 t372 t37 t637 t278 t777 t30 t37 t637 t804 t535 t804,,,negative,14
t535 t378 t592 t593 t640 t131 t378 t98 t363 t237 t30 t777 t593 t98,,,negative,14
t466 t372 t378 t14 t640 t573 t372 t892 t848 t237 t804 t573 t466 t573,,,negative,14
t593 t640 t535 t37 t372 t892 t98 t131 t98 t363 t444 t804 t372 t689,,,negative,14
t98 t467 t817 t37 t848 t131 t30 t466 t804 t535 t817 t37 t637 t535,,,negative,14
t467 t278 t573 t848 t637 t98 t278 t817 t14 t689 t237 t777 t444 t14,,,negative,14
t689 t30 t637 t817 t640 t467 t378 t640 t848 t30 t237 t466 t555 t444,,,negative,14
t217 t777 t363 t592 t777 t777 t217 t640 t98 t372 t466 t892 t444 t217,,,negative,14
t14 t848 t689 t535 t640 t278 t817 t467 t363 t363 t892 t372 t535 t217,,,negative,14
t467 t444 t555 t892 t804 t37 t535 t30 t804 t98 t37 t777 t848 t131 t573,,,negative,15
t14 t640 t131 t363 t363 t592 t640 t593 t817 t466 t98 t278 t278 t131 t217,,,negative,15
t98 t217 t98 t555 t640 t689 t363 t466 t592 t278 t535 t37 t592 t573 t640,,,negative,15
t363 t848 t467 t892 t237 t444 t217 t466 t14 t593 t892 t892 t535 t892 t892,,,negative,15
t535 t892 t444 t689 t278 t378 t372 t37 t363 t131 t237 t555 t14 t14 t804,,,negative,15
t278 t37 t777 t467 t573 t592 t640 t278 t278 t637 t237 t640 t689 t444 t466,,,negative,15
t817 t217 t278 t37 t689 t689 t30 t592 t372 t637 t444 t640 t592 t555 t817,,,negative,15
t804 t637 t237 t14 t466 t278 t592 t444 t444 t555 t98 t466 t278 t363 t98,,,negative,15
t555 t30 t592 t555 t278 t555 t848 t817 t217 t592 t37 t804 t217 t98 t372,,,negative,15
t535 t378 t98 t467 t30 t777 t37 t804 t372 t131 t555 t637 t892 t378 t640,,,negative,15
t37 t573 t593 t217 t640 t466 t378 t131 t237 t892 t555 t444 t217 t593 t804 t892,,,negative,16
t555 t372 t689 t237 t278 t98 t689 t573 t466 t363 t466 t372 t444 t372 t848 t689,,,negative,16
t535 t98 t278 t467 t444 t37 t777 t777 t372 t817 t444 t892 t278 t640 t535 t573,,,negative,16
t640 t804 t131 t573 t817 t535 t14 t278 t817 t637 t640 t372 t98 t14 t640 t278,,,negative,16
t30 t892 t689 t777 t535 t535 t30 t237 t37 t237 t363 t237 t98 t640 t640 t555,,,negative,16
t363 t592 t217 t30 t372 t237 t689 t804 t217 t592 t466 t848 t892 t131 t892 t593,,,negative,16
t777 t14 t777 t372 t466 t593 t14 t777 t278 t131 t131 t131 t372 t278 t466 t372,,,negative,16
t892 t466 t278 t217 t573 t363 t444 t592 t278 t593 t237 t131 t98 t892 t378 t817,,,negative,16
t593 t640 t689 t804 t848 t592 t689 t592 t131 t555 t378 t237 t573 t217 t689 t98,,,negative,16
t637 t892 t378 t372 t466 t466 t237 t372 t372 t466 t237 t237 t777 t37 t535 t278,,,negative,16
t217 t278 t535 t777 t372 t237 t131 t573 t637 t777 t817 t378 t593 t278 t37 t892 t444,13.0,1.0,positive,17
t217 t278 t37 t777 t372 t237 t131 t573 t573 t777 t817 t378 t593 t278 t37 t892 t444,13.0,1.0,positive,17
t217 t278 t37 t777 t817 t378 t593 t278 t37 t131 t637 t637 t777 t372 t237 t892 t444,11.0,1.0,positive,17
t217 t278 t535 t777 t817 t378 t593 t278 t535 t131 t573 t573 t777 t372 t237 t892 t444,11.0,1.0,positive,17
t217 t278 t37 t777 t817 t378 t593 t278 t37 t131 t637 t573 t777 t372 t237 t892 t444,11.0,1.0,positive,17
t217 t278 t535 t777 t817 t378 t593 t278 t37 t131 t637 t637 t777 t372 t237 t892 t444,11.0,1.0,positive,17
t217 t278 t37 t777 t817 t378 t593 t278 t535 t131 t573 t573 t777 t372 t237 t892 t444,11.0,1.0,positive,17
t217 t278 t535 t777 t817 t378 t593 t278 t37 t131 t637 t573 t777 t372 t237 t892 t444,11.0,1.0,positive,17
t217 t278 t535 t777 t372 t237 t131 t573 t637 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,17
t217 t278 t535 t777 t817 t378 t593 t278 t535 t131 t637 t637 t777 t372 t237 t892 t444,11.0,1.0,positive,17
t689 t593 t131 t848 t640 t804 t363 t131 t372 t372 t131 t689 t593 t278 t278 t278 t466,,,negative,17
t640 t817 t37 t131 t14 t467 t98 t444 t372 t817 t466 t372 t804 t37 t378 t777 t592,,,negative,17
t372 t363 t363 t848 t37 t817 t689 t467 t777 t689 t637 t535 t217 t777 t30 t593 t637,,,negative,17
t593 t131 t573 t278 t467 t278 t378 t37 t848 t892 t467 t848 t30 t467 t777 t372 t378,,,negative,17
t777 t848 t378 t444 t892 t372 t592 t37 t817 t689 t237 t14 t14 t555 t131 t640 t217,,,negative,17
t363 t466 t592 t217 t817 t237 t466 t217 t892 t98 t467 t37 t372 t817 t444 t592 t777,,,negative,17
t378 t535 t535 t378 t363 t237 t14 t237 t444 t593 t217 t363 t555 t444 t278 t573 t378,,,negative,17
t848 t466 t689 t689 t573 t278 t98 t467 t363 t30 t804 t689 t592 t573 t444 t848 t467,,,negative,17
t466 t237 t237 t30 t689 t363 t817 t592 t640 t573 t372 t555 t466 t98 t378 t777 t640,,,negative,17
t640 t892 t37 t640 t278 t444 t466 t37 t131 t892 t640 t372 t804 t467 t30 t444 t131,,,negative,17
t217 t278 t535 t98 t637 t637 t777 t817 t30 t804 t466 t592 t555 t593 t278 t37 t892 t444,17.0,1.0,positive,18
t217 t278 t535 t98 t637 t637 t777 t817 t30 t804 t14 t467 t555 t593 t278 t37 t892 t444,17.0,1.0,positive,18
t217 t278 t37 t98 t637 t573 t777 t817 t30 t804 t466 t467 t555 t593 t278 t535 t892 t444,17.0,1.0,positive,18
t217 t278 t37 t98 t573 t573 t777 t817 t30 t804 t466 t592 t555 t593 t278 t535 t892 t444,17.0,1.0,positive,18
t217 t278 t37 t98 t637 t573 t777 t817 t30 t804 t14 t467 t555 t593 t278 t535 t892 t444,17.0,1.0,positive,18
t217 t278 t37 t98 t637 t637 t777 t817 t30 t804 t14 t467 t555 t593 t278 t37 t892 t444,17.0,1.0,positive,18
t217 t278 t535 t98 t637 t637 t777 t817 t30 t804 t466 t467 t555 t593 t278 t37 t892 t444,17.0,1.0,positive,18
t217 t278 t535 t98 t637 t573 t777 t817 t30 t804 t466 t592 t555 t593 t278 t37 t892 t444,17.0,1.0,positive,18
t217 t278 t37 t98 t637 t637 t777 t817 t30 t804 t466 t467 t555 t593 t278 t37 t892 t444,17.0,1.0,positive,18
t217 t278 t37 t98 t573 t637 t777 t817 t30 t804 t466 t467 t555 t593 t278 t535 t892 t444,17.0,1.0,positive,18
t467 t592 t555 t37 t372 t640 t278 t372 t278 t278 t278 t217 t372 t804 t592 t637 t535 t593,,,negative,18
t573 t892 t37 t640 t555 t573 t37 t37 t804 t593 t467 t30 t804 t592 t363 t30 t131 t689,,,negative,18
t466 t14 t466 t30 t573 t592 t573 t848 t817 t444 t593 t37 t689 t804 t592 t98 t372 t637,,,negative,18
t640 t131 t592 t777 t30 t372 t689 t555 t217 t777 t817 t217 t466 t573 t444 t535 t98 t98,,,negative,18
t466 t689 t98 t817 t444 t372 t640 t444 t592 t131 t892 t592 t378 t278 t363 t817 t777 t278,,,negative,18
t593 t444 t131 t14 t777 t848 t444 t363 t777 t640 t804 t278 t378 t535 t467 t777 t848 t689,,,negative,18
t593 t14 t363 t131 t573 t535 t372 t467 t817 t555 t363 t689 t372 t278 t372 t640 t592 t777,,,negative,18
t777 t278 t804 t363 t237 t466 t535 t817 t804 t98 t848 t14 t30 t777 t444 t467 t555 t217,,,negative,18
t444 t217 t573 t131 t593 t37 t640 t640 t848 t573 t593 t466 t444 t217 t363 t593 t804 t278,,,negative,18
t467 t804 t237 t804 t804 t555 t848 t467 t378 t14 t30 t217 t637 t217 t131 t363 t98 t37,,,negative,18
t98 t444 t217 t237 t535 t593 t573 t444 t378 t592 t593 t535 t372 t892 t555 t363 t817 t804 t14,,,negative,19
t573 t777 t592 t467 t592 t777 t689 t131 t131 t30 t637 t592 t777 t278 t848 t555 t637 t467 t30,,,negative,19
t14 t30 t892 t14 t848 t14 t640 t892 t817 t467 t848 t467 t30 t777 t535 t237 t592 t555 t237,,,negative,19
t14 t30 t363 t689 t378 t217 t467 t30 t37 t817 t777 t777 t372 t689 t30 t217 t637 t237 t131,,,negative,19
t14 t592 t689 t892 t217 t804 t592 t592 t535 t892 t363 t637 t444 t777 t98 t466 t278 t593 t892,,,negative,19
t37 t804 t892 t593 t466 t573 t467 t689 t535 t848 t131 t363 t30 t466 t892 t848 t804 t363 t444,,,negative,19
t98 t689 t689 t372 t37 t98 t444 t237 t98 t372 t777 t372 t689 t689 t217 t892 t131 t237 t363,,,negative,19
t444 t804 t848 t777 t466 t777 t535 t278 t372 t30 t217 t593 t592 t777 t466 t37 t444 t689 t37,,,negative,19
t378 t378 t593 t131 t848 t466 t217 t640 t217 t555 t592 t444 t372 t777 t467 t640 t14 t777 t640,,,negative,19
t444 t372 t640 t372 t30 t372 t592 t640 t535 t363 t217 t466 t131 t777 t592 t804 t466 t467 t593,,,negative,19
t217 t278 t37 t777 t817 t378 t593 t278 t535 t131 t573 t637 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,20
t217 t278 t37 t777 t817 t378 t593 t278 t535 t131 t573 t637 t777 t817 t378 t593 t278 t37 t892 t444,13.0,1.0,positive,20
t217 t278 t37 t777 t817 t378 t593 t278 t535 t131 t637 t637 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,20
t217 t278 t535 t777 t817 t378 t593 t278 t535 t131 t573 t573 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,20
t217 t278 t535 t777 t817 t378 t593 t278 t37 t131 t573 t573 t777 t817 t378 t593 t278 t37 t892 t444,13.0,1.0,positive,20
t217 t278 t37 t777 t817 t378 t593 t278 t37 t131 t573 t573 t777 t817 t378 t593 t278 t37 t892 t444,13.0,1.0,positive,20
t217 t278 t535 t777 t817 t378 t593 t278 t535 t131 t573 t573 t777 t817 t378 t593 t278 t37 t892 t444,13.0,1.0,positive,20
t217 t278 t37 t777 t817 t378 t593 t278 t535 t131 t573 t573 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,20
t217 t278 t535 t777 t817 t378 t593 t278 t535 t131 t573 t637 t777 t817 t378 t593 t278 t535 t892 t444,13.0,1.0,positive,20
t217 t278 t535 t777 t817 t378 t593 t278 t37 t131 t637 t637 t777 t817 t378 t593 t278 t37 t892 t444,13.0,1.0,positive,20
t237 t689 t372 t467 t363 t217 t804 t98 t592 t777 t98 t466 t444 t535 t14 t848 t535 t363 t640 t555,,,negative,20
t592 t637 t14 t98 t37 t363 t592 t535 t372 t14 t592 t804 t237 t131 t892 t892 t892 t535 t592 t817,,,negative,20
t30 t637 t777 t372 t593 t640 t555 t237 t237 t14 t573 t555 t637 t237 t131 t637 t573 t848 t217 t592,,,negative,20
t131 t278 t372 t237 t14 t278 t637 t777 t592 t689 t689 t444 t689 t378 t237 t466 t637 t30 t555 t278,,,negative,20
t592 t278 t817 t535 t372 t372 t848 t804 t30 t98 t535 t593 t637 t372 t98 t37 t892 t217 t573 t535,,,negative,20
t817 t14 t30 t593 t378 t466 t378 t640 t98 t98 t689 t817 t467 t535 t637 t30 t37 t892 t237 t466,,,negative,20
t592 t131 t817 t444 t467 t555 t892 t378 t237 t98 t372 t555 t777 t637 t689 t777 t848 t848 t777 t640,,,negative,20
t363 t817 t555 t689 t98 t848 t217 t217 t372 t804 t640 t535 t817 t363 t237 t98 t278 t848 t467 t444,,,negative,20
t467 t848 t363 t593 t592 t467 t892 t131 t777 t444 t804 t466 t555 t98 t14 t555 t592 t892 t378 t363,,,negative,20
t573 t892 t98 t640 t14 t14 t98 t689 t37 t593 t573 t98 t535 t573 t363 t98 t637 t555 t372 t237,,,negative,20
t217 t278 t37 t777 t817 t30 t804 t14 t592 t555 t593 t278 t535 t131 t637 t637 t777 t372 t237 t892 t444,15.0,1.0,positive,21
t217 t278 t535 t777 t372 t237 t131 t573 t637 t777 t817 t30 t804 t466 t467 t555 t593 t278 t535 t892 t444,17.0,1.0,positive,21
t217 t278 t535 t777 t817 t30 t804 t14 t467 t555 t593 t278 t535 t131 t573 t637 t777 t372 t237 t892 t444,15.0,1.0,positive,21
t217 t278 t535 t777 t372 t237 t131 t637 t573 t777 t817 t30 t804 t466 t467 t555 t593 t278 t37 t892 t444,17.0,1.0,positive,21
t217 t278 t535 t777 t817 t30 t804 t14 t467 t555 t593 t278 t37 t131 t573 t573 t777 t372 t237 t892 t444,15.0,1.0,positive,21
t217 t278 t37 t777 t372 t237 t131 t573 t573 t777 t817 t30 t804 t14 t592 t555 t593 t278 t37 t892 t444,17.0,1.0,positive,21
t217 t278 t37 t777 t817 t30 t804 t466 t467 t555 t593 t278 t535 t131 t573 t637 t777 t372 t237 t892 t444,15.0,1.0,positive,21
t217 t278 t535 t777 t372 t237 t131 t637 t573 t777 t817 t30 t804 t466 t592 t555 t593 t278 t535 t892 t444,17.0,1.0,positive,21
t217 t278 t535 t777 t372 t237 t131 t573 t573 t777 t817 t30 t804 t466 t467 t555 t593 t278 t535 t892 t444,17.0,1.0,positive,21
t217 t278 t37 t777 t817 t30 t804 t466 t467 t555 t593 t278 t535 t131 t637 t573 t777 t372 t237 t892 t444,15.0,1.0,positive,21
t98 t467 t637 t378 t637 t555 t444 t535 t30 t689 t817 t640 t689 t237 t444 t131 t466 t30 t378 t98 t535,,,negative,21
t637 t466 t689 t892 t573 t278 t593 t689 t30 t777 t131 t378 t14 t535 t555 t278 t466 t555 t30 t217 t217,,,negative,21
t592 t14 t555 t689 t848 t689 t37 t892 t372 t378 t278 t848 t637 t592 t848 t98 t466 t592 t372 t593 t37,,,negative,21
t363 t378 t30 t378 t689 t30 t467 t848 t14 t378 t804 t378 t466 t573 t535 t637 t817 t640 t217 t848 t593,,,negative,21
t131 t892 t535 t467 t593 t640 t640 t848 t217 t237 t217 t535 t689 t37 t131 t573 t217 t892 t593 t535 t593,,,negative,21
t535 t37 t372 t237 t593 t467 t98 t278 t466 t817 t804 t217 t131 t444 t592 t804 t573 t363 t363 t37 t14,,,negative,21
t892 t848 t37 t131 t278 t689 t466 t804 t555 t237 t14 t444 t640 t689 t592 t637 t131 t592 t535 t593 t131,,,negative,21
t535 t892 t237 t444 t640 t14 t363 t467 t372 t817 t278 t217 t817 t804 t14 t30 t217 t237 t444 t237 t372,,,negative,21
t444 t237 t30 t131 t98 t777 t593 t804 t278 t37 t777 t640 t278 t592 t777 t892 t37 t237 t555 t466 t593,,,negative,21
t593 t593 t466 t131 t817 t378 t535 t372 t592 t363 t848 t640 t592 t131 t14 t640 t592 t217 t689 t14 t817,,,negative,21
t131 t131 t592 t237 t892 t573 t555 t467 t777 t555 t637 t30 t131 t37 t14 t804 t131 t98 t217 t637 t278 t466,,,negative,22
t444 t777 t637 t804 t217 t804 t817 t37 t372 t30 t848 t467 t444 t217 t535 t573 t892 t637 t378 t14 t131 t98,,,negative,22
t804 t363 t14 t37 t593 t363 t817 t30 t278 t363 t278 t573 t378 t804 t555 t37 t535 t98 t372 t467 t555 t372,,,negative,22
t378 t535 t30 t372 t555 t777 t689 t237 t592 t466 t777 t689 t37 t217 t593 t467 t30 t640 t237 t14 t817 t804,,,negative,22
t444 t689 t363 t535 t689 t593 t593 t363 t14 t278 t804 t593 t14 t640 t892 t817 t848 t14 t444 t98 t278 t804,,,negative,22
t466 t37 t535 t573 t804 t466 t37 t98 t466 t278 t804 t131 t848 t535 t98 t467 t804 t637 t892 t592 t777 t689,,,negative,22
t777 t237 t689 t237 t98 t777 t777 t637 t131 t37 t573 t804 t363 t777 t555 t363 t535 t777 t467 t892 t30 t98,,,negative,22
t637 t640 t466 t555 t555 t848 t14 t848 t444 t804 t467 t555 t131 t237 t640 t689 t378 t777 t804 t804 t593 t777,,,negative,22
t363 t372 t593 t535 t777 t466 t372 t14 t444 t848 t593 t535 t363 t30 t892 t817 t817 t640 t804 t848 t804 t37,,,negative,22
t689 t466 t892 t237 t573 t37 t593 t892 t98 t444 t278 t593 t804 t637 t378 t555 t573 t98 t555 t466 t593 t467,,,negative,22
t98 t14 t573 t593 t637 t131 t817 t217 t444 t592 t848 t555 t467 t278 t278 t573 t804 t637 t593 t637 t892 t817 t593,,,negative,23
t466 t237 t217 t37 t593 t372 t14 t278 t535 t573 t37 t466 t555 t892 t804 t131 t777 t378 t363 t637 t640 t892 t640,,,negative,23
t848 t535 t278 t555 t444 t555 t892 t593 t804 t689 t466 t637 t777 t689 t372 t592 t372 t892 t555 t804 t593 t467 t689,,,negative,23
t637 t555 t444 t777 t372 t593 t637 t131 t37 t535 t372 t14 t278 t817 t892 t372 t37 t37 t30 t372 t573 t804 t378,,,negative,23
t278 t237 t466 t237 t467 t848 t131 t777 t640 t777 t592 t378 t804 t372 t535 t14 t573 t363 t131 t98 t689 t689 t98,,,negative,23
t555 t804 t573 t689 t892 t689 t592 t444 t689 t467 t817 t555 t217 t278 t593 t14 t593 t535 t689 t444 t640 t466 t804,,,negative,23
t37 t804 t131 t217 t573 t30 t892 t30 t467 t217 t14 t363 t131 t777 t555 t466 t592 t593 t372 t466 t37 t593 t573,,,negative,23
t804 t804 t372 t14 t804 t131 t573 t777 t37 t37 t804 t535 t37 t535 t640 t535 t237 t592 t573 t98 t466 t467 t689,,,negative,23
t30 t363 t372 t555 t30 t378 t378 t467 t804 t777 t592 t637 t892 t14 t217 t637 t555 t37 t217 t848 t278 t804 t363,,,negative,23
t278 t592 t817 t555 t892 t535 t689 t592 t37 t804 t131 t466 t372 t637 t817 t817 t640 t689 t637 t593 t278 t848 t466,,,negative,23
t217 t278 t535 t777 t817 t378 t593 t278 t535 t131 t637 t637 t777 t817 t30 t804 t14 t592 t555 t593 t278 t535 t892 t444,17.0,1.0,positive,24
t217 t278 t535 t777 t817 t30 t804 t466 t467 t555 t593 t278 t37 t131 t573 t637 t777 t817 t378 t593 t278 t37 t892 t444,15.0,1.0,positive,24
t217 t278 t535 t777 t817 t378 t593 t278 t37 t131 t637 t637 t777 t817 t30 t804 t14 t467 t555 t593 t278 t535 t892 t444,17.0,1.0,positive,24
